                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1765,                 4.2706,                 4.2068,                0.00445,                0.24559,                0.00415,                0.00106,                 3.0794,                 4.0692,                 4.1531,                0.00016,                0.00016,                0.00016
                      2,                 3.1816,                 4.1657,                 4.1412,                0.00534,                0.25438,                0.00767,                0.00177,                 3.0679,                 4.0528,                  4.134,              0.0002211,              0.0002211,              0.0002211
                      3,                 3.1336,                 3.9901,                 4.0881,                0.00417,                0.26119,                0.00685,                0.00172,                 3.0536,                 4.0164,                 4.0997,                0.00017,                0.00017,                0.00017
